,Date,Average Buy Size,", Average Sell Size",Max buy size,Max sell size, Buy volume,sell volume,Total volume traded, EOD Price in USD,Average Liquidity in Pool
141,02-11-20,316300760.8203375,4808245.464207804,818241582.7673218,80424849.8478346,948902282.4610125,19232981.856831215,968135264.3178437,1668.6602313983108,1447277.5924161845
142,03-11-20,0.0,73748019.41311073,0.0,73748019.41311073,0.0,73748019.41311073,73748019.41311073,1394.810435935525,3332682.6765883323
143,04-11-20,100325618.4071484,17454488.19044012,100325618.4071484,17454488.19044012,100325618.4071484,17454488.19044012,117780106.59758852,1065.1600354978834,1010369.7590831141
144,06-11-20,0.0,148832661.27726611,0.0,297665322.55453223,0.0,297665322.55453223,297665322.55453223,1512.6932377022713,2981462.641419006
145,08-11-20,0.0,13170033.718611794,0.0,35106626.02408645,0.0,26340067.437223587,26340067.437223587,0.9763341414262315,704154.7043592954
146,09-11-20,0.0,4752603.81777554,0.0,22089086.273318186,0.0,14257811.45332662,14257811.45332662,423.821349245298,563790.7151869365
147,10-11-20,28260493.44136492,0.0,28260493.44136492,0.0,28260493.44136492,0.0,28260493.44136492,607.9070759199344,325863.6611025942
148,11-11-20,0.0,50470796.71130333,0.0,201883186.84521332,0.0,201883186.84521332,201883186.84521332,5.319031266106485,2915274.9778635483
149,12-11-20,0.0,41022228.679009095,0.0,41022228.679009095,0.0,41022228.679009095,41022228.679009095,1.3712249690126994,47513.27170238065
150,13-11-20,67249462.73730993,80145158.30960451,67249462.73730993,240435474.92881355,67249462.73730993,240435474.92881355,307684937.6661235,697.2469919389138,1659710.5122415225
151,14-11-20,0.0,9798114.136883778,0.0,22742312.393197145,0.0,19596228.273767557,19596228.273767557,1929.8952583770076,282465.9069806772
152,15-11-20,0.0,31041972.948388875,0.0,534448757.00611895,0.0,93125918.84516662,93125918.84516662,1728.2194959205008,1970962.3334677925
153,16-11-20,0.0,6841785.824625461,0.0,16130863.412016042,0.0,13683571.649250923,13683571.649250923,495.57598974241176,897330.3626311937
154,17-11-20,0.0,11765657.727339488,0.0,30892227.617039625,0.0,23531315.454678975,23531315.454678975,1001.8639194266319,641706.4202442993
155,18-11-20,36218406.11435669,0.0,36218406.11435669,0.0,36218406.11435669,0.0,36218406.11435669,1073.0152745062187,3566168.730454764
156,19-11-20,17426323.285199244,15760574.885105515,20313108.451558877,115716040.0741753,34852646.57039849,63042299.54042206,97894946.11082055,768.8929659196406,1027055.8996400638
